,Gold,power,powerdiff,forecast
2004-01-01,6179.04,450.4480432080784,,6180.1188208607655
2004-02-01,6017.73,442.18386225962485,-8.264180948453543,6018.777472894442
2004-03-01,5986.48,440.5752285088281,-1.6086337507967414,5987.521409897366
2004-04-01,5915.8,436.9275586362585,-3.6476698725696224,5916.827708916541
2004-05-01,5736.46,427.6128807351441,-9.314677901114408,5737.453020995516
2004-06-01,5862.12,434.14848821271454,6.535607477570466,5863.137314580646
2004-07-01,6059.42,444.3260125255464,10.17752431283185,6060.475566468856
2004-08-01,6125.8,447.72770549275384,3.4016929672074525,6126.868465112805
2004-09-01,6170.43,450.0085868947234,2.280881401969566,6171.507145499826
2004-10-01,6360.83,459.68427984474766,9.675692950024256,6361.944249643556
2004-11-01,6550.83,469.2534026587583,9.569122814010655,6551.981389505588
2004-12-01,6444.62,463.91468521086955,-5.338717447888769,6445.750614526572
2005-01-01,6148.6,448.8935534108549,-15.021131800014643,6149.672898827514
2005-02-01,6107.5,446.79101717508524,-2.102536235769662,6108.564907701115
2005-03-01,6262.2,454.68314331343134,7.8921261383461,6263.295014699532
2005-04-01,6150.58,448.9947368373733,-5.688406476058049,6151.653283940536
2005-05-01,6030.38,442.8343242416427,-6.160412595730577,6031.4299281196245
2005-06-01,6134.23,448.1589138475164,5.324589605873655,6135.300104223024
2005-07-01,6058.26,444.2664683639902,-3.89244548352616,6059.315341192068
2005-08-01,6249.0,454.0120370202575,9.745568656267267,6250.092442766353
2005-09-01,6534.6,468.4392811994442,14.427244179186744,6535.748212627542
2005-10-01,6873.8,485.3307674814291,16.891486281984896,6875.014772726166
2005-11-01,7167.5,499.75527991150756,14.424512430078437,7168.772675679598
2005-12-01,7585.93,520.003398056062,20.24811814455444,7587.285582738223
2006-01-01,7925.0,536.1662704990886,16.162872443026572,7926.423105508825
2006-02-01,8038.04,541.5082955783612,5.3420250792726165,8039.485681547519
2006-03-01,8059.4,542.5151838734107,1.0068882950495208,8060.849951094012
2006-04-01,8984.77,585.4029072275772,42.887723354166496,8986.405967577435
2006-05-01,9969.39,629.6047706044416,44.20186337686437,9971.225987281152
2006-06-01,8951.92,583.9038444636507,-45.7009261407909,8953.549330257054
2006-07-01,9559.0,611.3483200457866,27.444475582135965,9560.752370881004
2006-08-01,9468.93,607.3102823349225,-4.03803771086416,9470.66406589241
2006-09-01,8998.2,586.0152923640989,-21.29498997082362,8999.838681792304
2006-10-01,8694.86,572.1156337279037,-13.899658636195113,8696.437475428915
2006-11-01,9139.92,592.4608756508624,20.34524192295862,9141.58734785509
2006-12-01,9133.13,592.152745991291,-0.30812965957136385,9134.795973416552
2007-01-01,9069.17,589.2468640771115,-2.905881914179531,9070.823031535972
2007-02-01,9545.0,610.7214207287332,21.474556651621697,9546.749524532886
2007-03-01,9369.6,602.843712221384,-7.877708507349212,9371.313898866685
2007-04-01,9321.09,600.6572050647509,-2.18650715663307,9322.794057496181
2007-05-01,8878.13,580.5305110801987,-20.126693984552162,8879.74442984274
2007-06-01,8707.42,572.6940158324476,-7.836495247751145,8709.00000556897
2007-07-01,8741.35,574.2552266782542,1.5612108458066132,8742.936842383573
2007-08-01,8835.58,578.5815018004488,4.326275122194602,8837.1858432919
2007-09-01,9310.96,600.2001818086828,21.618680008234037,9312.66200302897
2007-10-01,9690.96,617.243834693496,17.043652884813127,9692.739219816349
2007-11-01,10340.38,645.9152663311705,28.671431637674573,10342.29186727742
2007-12-01,10311.0,644.6300561304964,-1.2852102006741006,10312.905848238513
2008-01-01,11290.96,686.9286154425183,42.298559312021894,11293.067486714348
2008-02-01,11887.83,712.1505436013204,25.22192815880203,11890.06114383076
2008-03-01,12631.74,743.0605840416139,30.91004044029353,12634.126100295538
2008-04-01,11810.42,708.9012457424592,-34.15933829915468,11812.635071850376
2008-05-01,12143.0,722.8167308594004,13.915485116941227,12145.284193660009
2008-06-01,12353.0,731.5444317929578,8.727700933557344,12355.327933216384
2008-07-01,13027.96,759.3001602409638,27.75572844800604,13030.428994069005
2008-08-01,11860.64,711.0099640196604,-48.290196221303404,11862.865497449893
2008-09-01,12220.28,726.033750476597,15.023786456936591,12222.580281434482
2008-10-01,12690.87,745.4936984566693,19.459947980072343,12693.268455374448
2008-11-01,12142.92,722.8133974346348,-22.68030102203454,12145.204177011085
2008-12-01,12922.6,754.9964874368428,32.18309000220802,12925.046927712952
2009-01-01,13472.8,777.3569826582237,22.360495221380916,13475.362346637898
2009-02-01,14800.22,830.2095403277333,52.852557669509565,14803.062624809994
2009-03-01,15232.2,847.0983647600999,16.88882443236662,15235.134359809203
2009-04-01,14474.57,817.3799296405147,-29.71843511958525,14477.343636339148
2009-05-01,14620.83,823.152723126843,5.772793486328283,14623.634603367853
2009-06-01,14638.85,823.8627601007612,0.7100369739182497,14641.658420699505
2009-07-01,14720.37,827.071600179304,3.208840078542835,14723.195695318856
2009-08-01,14952.08,836.1633508099352,9.091750630631168,14954.95484532726
2009-09-01,15722.61,866.0984259324129,29.935075122477656,15725.6487996644
2009-10-01,15882.39,872.2502433678592,6.151817435446333,15885.462893671945
2009-11-01,17056.8,916.9133373892288,44.6630940213696,17060.124456902537
2009-12-01,17159.42,920.771403755296,3.8580663660671917,17162.76651702445
2010-01-01,16705.8,903.6642354611338,-17.107168294162193,16709.049096598665
2010-02-01,16525.43,896.8234140811246,-6.840821380009174,16528.640428040642
2010-03-01,16613.96,900.1838401982845,3.360426117159932,16617.18940261849
2010-04-01,16692.92,903.176477957731,2.9926377594464384,16696.16633402785
2010-05-01,18024.2,953.0138197460649,49.8373417883339,18027.732898546015
2010-06-01,18744.62,979.5207680099388,26.506948263873937,18748.30880254821
2010-07-01,18269.81,962.0858374745128,-17.43493053542602,18273.395986710395
2010-08-01,18457.2,968.9828102681213,6.896972793608484,18460.826535195276
2010-09-01,19055.63,990.8691749677444,21.886364699623073,19059.386279770268
2010-10-01,19474.23,1006.056118058067,15.186943090322643,19478.077259907877
